Decile,Total_DL,Total_Data
4,458621922.0,481324396.0
6,568499353.0,608509578.0
3,367340870.0,387620551.0
4,454745514.0,485197995.0
0,43418268.0,88049609.0
2,246941952.0,279317912.0
1,121929232.0,177143332.0
5,481703146.0,523049423.0
5,493226897.0,529534884.0
4,389405801.0,443940581.0
6,571632191.0,601273655.0
2,218361485.0,247624246.0
4,371383422.0,419254942.0
0,44491564.0,78460049.0
0,81594921.0,125479995.0
5,501200443.0,533716782.0
9,830765244.0,864458739.0
5,495600824.0,547015541.0
8,746315508.0,786395141.0
4,393367830.0,444481239.0
5,508072217.0,552479729.0
9,843112256.0,865529856.0
2,261929709.0,283787913.0
5,543123550.0,580941155.0
8,744521794.0,785723383.0
4,389987692.0,429763576.0
2,242464131.0,282273780.0
9,814955122.0,862404822.0
7,707915767.0,743807360.0
4,437442806.0,474733443.0
2,258259337.0,308001399.0
3,279286269.0,337187411.0
2,272170461.0,306957894.0
4,389479021.0,419479737.0
8,760782310.0,821862498.0
8,767867863.0,812263024.0
5,470826512.0,506087524.0
6,530548001.0,590020098.0
5,480112480.0,509788062.0
9,837991078.0,888912883.0
0,51920130.0,85804580.0
5,470078856.0,501043002.0
7,637995717.0,692489052.0
5,471657177.0,524195470.0
5,463502611.0,511270384.0
4,427752290.0,481223625.0
6,584370738.0,617327702.0
4,444627006.0,481421794.0
6,572182751.0,605088990.0
9,834320130.0,887550070.0
1,203446806.0,237262051.0
0,94643691.0,132673327.0
0,55521742.0,80529735.0
7,639153383.0,686453868.0
9,829260989.0,862562975.0
8,742352875.0,774363787.0
5,517991795.0,577766785.0
9,813632189.0,858357539.0
3,294929688.0,331419659.0
9,826413206.0,865649323.0
6,606404521.0,626076782.0
2,273741134.0,313405730.0
4,428634865.0,480103108.0
9,803296369.0,834282093.0
4,405308776.0,435012858.0
6,571181090.0,596339055.0
3,370484170.0,404454226.0
4,387079761.0,439722257.0
1,187044750.0,229179286.0
3,301196341.0,349124361.0
1,144196707.0,179388650.0
2,246037296.0,285374832.0
5,481122479.0,544963800.0
8,763181733.0,792767903.0
7,625494659.0,686905315.0
6,584072494.0,630243250.0
8,760452341.0,785653196.0
0,62112405.0,95492252.0
6,566437329.0,599137896.0
2,271032994.0,317501150.0
7,608748718.0,671225462.0
4,358432697.0,417520451.0
9,793975996.0,835319496.0
6,613475225.0,660233105.0
3,319883338.0,353367178.0
9,844751023.0,884952789.0
6,576913880.0,597821026.0
8,720582490.0,759510818.0
9,829495237.0,894748155.0
0,85814270.0,130864515.0
0,142966719.0,155204298.0
0,94633551.0,139180608.0
1,117706503.0,177007659.0
5,476605557.0,518176965.0
0,84927477.0,133275237.0
0,61432389.0,112129771.0
1,175214912.0,220110425.0
9,816888698.0,858951359.0
5,480388632.0,510510873.0
9,841812659.0,883604765.0
5,485064850.0,533035914.0
6,547429757.0,590472394.0
2,249347433.0,314040670.0
0,103639321.0,136612005.0
1,145370816.0,162723545.0
0,21296648.0,63120080.0
2,250897230.0,315557397.0
6,601323306.0,652505372.0
7,659854042.0,693998390.0
4,399077248.0,435158589.0
9,868639408.0,920525104.0
7,626527352.0,666124152.0
5,487733500.0,502010220.0
3,302741048.0,349609547.0
8,751025615.0,789315777.0
1,143115499.0,185871259.0
2,222090040.0,272986387.0
1,133406190.0,178849100.0
1,174928562.0,227149221.0
6,603114916.0,647218342.0
8,719808660.0,777085927.0
3,282443060.0,335786135.0
9,839284668.0,906441149.0
3,322963562.0,364215619.0
8,752792252.0,821488456.0
1,174763011.0,227386506.0
5,470857415.0,527737371.0
2,221695447.0,276092700.0
5,514377705.0,564321572.0
3,380704523.0,410384917.0
3,317157416.0,365979030.0
0,62796234.0,105276041.0
7,703890676.0,746747063.0
5,517269859.0,576097604.0
2,257554918.0,285692617.0
7,612010202.0,667499396.0
6,546689951.0,582185075.0
4,428247242.0,489767717.0
8,729110082.0,795663809.0
3,329315603.0,370922663.0
0,13897287.0,73921214.0
1,168259391.0,208605011.0
5,499023027.0,559233105.0
6,616983465.0,641876713.0
3,338807308.0,371896681.0
9,862101115.0,919732577.0
1,171681394.0,215125215.0
0,55292416.0,81561403.0
1,182834917.0,237211567.0
8,766796587.0,813871916.0
7,674976124.0,718980161.0
2,293384407.0,321190168.0
6,567092374.0,624986191.0
1,142041705.0,159054560.0
0,91244891.0,115289967.0
6,599920481.0,643354952.0
3,304071144.0,336712460.0
9,813734296.0,863392161.0
2,185918889.0,246277482.0
2,233480315.0,274491488.0
5,477930350.0,525844332.0
7,712718094.0,743789977.0
9,832432485.0,868443354.0
6,535886622.0,584355950.0
3,285113435.0,333804427.0
3,300293520.0,342233612.0
1,179219416.0,203793440.0
5,510676014.0,560792178.0
3,343821174.0,368695682.0
8,757388010.0,810973839.0
7,652834078.0,689799997.0
9,796108100.0,835223579.0
8,739042144.0,774960293.0
4,409334774.0,444216465.0
6,608977267.0,651650893.0
8,793114718.0,819899585.0
5,510599001.0,557333496.0
2,270562355.0,314173249.0
5,514174099.0,546323188.0
8,788470733.0,828624058.0
6,592537801.0,624717584.0
5,504048246.0,551388688.0
8,720971756.0,757809652.0
4,439673385.0,469172591.0
6,560933911.0,600958211.0
5,523789463.0,570632071.0
9,864189442.0,899652834.0
5,475191537.0,514812590.0
1,151196852.0,185710517.0
2,270523528.0,304402641.0
1,207406447.0,231321685.0
0,104210739.0,136353902.0
0,93857247.0,138457669.0
8,770988379.0,818291305.0
2,251399376.0,297920012.0
1,136684842.0,182884425.0
6,581772100.0,630125576.0
6,605887686.0,648603615.0
4,399777352.0,434314766.0
1,156868104.0,182123371.0
3,334690485.0,365626760.0
4,438187885.0,481634514.0
0,55198463.0,123843489.0
3,305673726.0,376648197.0
0,49516120.0,105196936.0
3,353333697.0,399054199.0
1,189460657.0,216533128.0
9,820360487.0,855751858.0
6,629463021.0,660506257.0
8,730035049.0,783412115.0
6,552691998.0,592526263.0
6,611984321.0,641616133.0
9,841420512.0,887269930.0
2,238049467.0,290501362.0
3,325211236.0,366136160.0
7,679179993.0,729791636.0
1,178278267.0,230337594.0
4,419937417.0,463682961.0
4,357532212.0,413361774.0
5,468534445.0,513450933.0
0,52750579.0,96848370.0
4,393602507.0,439326037.0
1,197450848.0,237625275.0
2,213785719.0,250144422.0
0,58179762.0,103626253.0
2,277778987.0,304405176.0
9,821744886.0,857080752.0
1,98140999.0,157994877.0
8,738877236.0,774692432.0
9,787755518.0,836472848.0
0,77378497.0,118658817.0
4,411671994.0,469330811.0
1,128823921.0,171799467.0
4,397123750.0,449079698.0
3,319503602.0,379153647.0
5,540192320.0,573221471.0
0,102427935.0,139454171.0
4,373065390.0,425459722.0
9,831437149.0,884806251.0
6,576775226.0,620713277.0
7,705287150.0,742644469.0
1,128043918.0,178285494.0
2,262144204.0,306001584.0
8,786248345.0,813698950.0
0,67948917.0,101324236.0
2,204707583.0,244515262.0
9,796410078.0,851633162.0
3,330241952.0,384768667.0
6,552452790.0,593050145.0
6,544587274.0,588941463.0
9,839385256.0,889526046.0
1,191977667.0,221330862.0
7,646102155.0,693653812.0
0,36074670.0,87954462.0
4,435052313.0,475054638.0
2,197690973.0,254313304.0
6,590124853.0,638813937.0
3,356515694.0,384452449.0
6,606643136.0,642354044.0
1,163970762.0,218404957.0
8,719768858.0,751440941.0
0,75570602.0,114827170.0
1,165377506.0,196637148.0
1,127994182.0,167634802.0
3,299210460.0,357770786.0
9,836724102.0,877025074.0
1,149615282.0,209858972.0
8,804406864.0,829913432.0
3,335905186.0,373100124.0
5,526639787.0,576978991.0
2,252699232.0,295075082.0
7,638696275.0,676033850.0
2,278556412.0,315040810.0
4,446375842.0,485274945.0
4,442781397.0,469415652.0
7,666254866.0,682540178.0
6,538998574.0,589620178.0
3,332341869.0,383427037.0
5,528857547.0,575251563.0
4,398100389.0,448451743.0
6,558618079.0,600723319.0
3,310588239.0,351857392.0
7,682287121.0,729672477.0
9,794048918.0,835811658.0
3,312838478.0,344607341.0
8,785259133.0,818511662.0
1,189244044.0,231373684.0
9,804579497.0,852566374.0
4,412375391.0,450876866.0
2,267720144.0,300676389.0
1,156123239.0,215392714.0
4,382185559.0,412037090.0
6,562397339.0,595620283.0
0,108390916.0,153236168.0
5,472386517.0,517199503.0
9,811049297.0,860773245.0
7,613418886.0,669530597.0
2,217861266.0,269288306.0
0,110587842.0,135786689.0
7,676919154.0,709380751.0
6,594464587.0,633022699.0
9,851751812.0,895743636.0
4,368878507.0,420355679.0
0,74520029.0,120808965.0
3,308617231.0,357739543.0
1,187346825.0,209334796.0
2,222225274.0,291060599.0
8,761467951.0,806734811.0
5,536127089.0,570877691.0
5,486465338.0,530488029.0
7,697629545.0,729207282.0
2,259519026.0,298003218.0
3,368047352.0,406327322.0
7,661331482.0,706796758.0
3,277049331.0,325725263.0
9,779821571.0,839538469.0
2,205085924.0,243071578.0
9,874634463.0,915406245.0
5,520013924.0,547637293.0
7,687765880.0,718252556.0
5,460579044.0,498842433.0
1,131826276.0,169896668.0
5,525640922.0,574752560.0
0,79043279.0,124424487.0
2,265362630.0,298933118.0
8,734554706.0,756339113.0
0,43944843.0,88393473.0
7,651700739.0,695969836.0
8,775061098.0,817864828.0
3,272852216.0,326390770.0
5,536693507.0,568371910.0
2,252784855.0,298390202.0
5,526563772.0,565868298.0
0,24460666.0,68363084.0
7,676906586.0,695924859.0
4,400344899.0,424779587.0
1,150605352.0,184695786.0
8,754188730.0,796696462.0
9,820662996.0,874858026.0
8,758336483.0,787451329.0
6,620158291.0,652170310.0
6,564651912.0,607135685.0
9,871765729.0,899640841.0
1,201291300.0,236835179.0
0,48711798.0,80200378.0
5,462650179.0,503210649.0
5,490497604.0,534602406.0
8,768288637.0,806302421.0
6,549342950.0,595361564.0
5,528913460.0,557371258.0
4,433553485.0,470714333.0
2,264963854.0,315484561.0
8,710055336.0,754936329.0
4,449306548.0,480689806.0
7,681179488.0,728429835.0
2,251522177.0,302922640.0
2,266371081.0,311058776.0
0,122367348.0,155198557.0
1,162049105.0,188572039.0
0,78762133.0,123828071.0
8,808137481.0,824167230.0
8,776153167.0,813529140.0
2,220224257.0,287546698.0
0,56111158.0,96804374.0
5,489321378.0,525335497.0
2,268789345.0,288882689.0
7,673864173.0,710550423.0
4,424585325.0,467340264.0
7,607353978.0,671155900.0
8,714408274.0,770564279.0
8,734562050.0,769040751.0
5,465209160.0,505974454.0
5,464726363.0,515745678.0
7,624656000.0,665322616.0
6,566551583.0,608295218.0
2,255191825.0,286727886.0
3,358524219.0,410118757.0
3,374275226.0,401015445.0
4,401131556.0,414507152.0
5,476800231.0,510984397.0
9,800995169.0,842261590.0
7,634932732.0,690604681.0
5,482525504.0,541470484.0
9,800664286.0,835401960.0
6,581217025.0,630886498.0
4,420473307.0,471543587.0
9,845381818.0,894787955.0
0,49555221.0,103533642.0
6,590212194.0,643729829.0
0,73646054.0,112990378.0
7,657430031.0,681338651.0
4,445196277.0,478955588.0
4,425431655.0,472514220.0
5,547145682.0,578796710.0
7,643249153.0,691306077.0
8,730449882.0,757005808.0
2,246780170.0,289453945.0
1,141170351.0,190698621.0
7,641860814.0,671099719.0
1,150531937.0,179425784.0
0,47255899.0,91332026.0
2,291456153.0,315952560.0
0,25411037.0,59952048.0
9,838030954.0,882561678.0
7,682572621.0,715055367.0
2,216520435.0,250466807.0
7,624857238.0,672408673.0
5,549274003.0,576235442.0
5,529696163.0,568334924.0
6,600130094.0,646345112.0
7,712944118.0,740225260.0
1,141365304.0,195926020.0
7,680444101.0,727969445.0
6,621275630.0,657708370.0
7,695752249.0,712324006.0
0,53551646.0,76270256.0
0,51447486.0,102606275.0
9,818316975.0,853696723.0
2,264826094.0,301345566.0
3,316548789.0,369519296.0
5,544759533.0,565738689.0
8,728697485.0,764991719.0
2,275390284.0,320051984.0
6,605037873.0,651728963.0
2,232916623.0,269340921.0
6,577113321.0,601512784.0
5,524580797.0,569611932.0
3,345596620.0,380641791.0
1,157354610.0,201843421.0
9,798446516.0,849754388.0
4,410836925.0,468502315.0
6,569370711.0,603147293.0
8,754882380.0,794912409.0
1,179721180.0,224445767.0
0,122457054.0,153143673.0
9,778798443.0,836538282.0
1,151870857.0,201867638.0
3,338994597.0,368964588.0
1,136372050.0,182395469.0
1,151560867.0,169195997.0
0,51853776.0,105795273.0
5,468654073.0,518953691.0
9,827915436.0,869929241.0
5,478532574.0,506857167.0
8,717505613.0,759137015.0
4,404185974.0,437663263.0
3,350800704.0,395389617.0
3,335556836.0,371592950.0
7,620172376.0,665926358.0
2,261864638.0,300284535.0
2,277542472.0,325188315.0
6,616073668.0,661970592.0
8,752848445.0,805224299.0
1,140622649.0,179412147.0
5,510161525.0,558173825.0
1,129352508.0,165399709.0
9,894503152.0,927757741.0
2,219353447.0,267473903.0
0,52670010.0,73639164.0
3,319349136.0,344376377.0
8,715359516.0,784665663.0
4,385448176.0,425648841.0
0,55283265.0,108567709.0
4,398179229.0,437429702.0
6,594255109.0,635986888.0
1,161260029.0,205996266.0
6,570731247.0,614183518.0
7,644495085.0,692958106.0
9,834329528.0,877581627.0
8,809396449.0,832909208.0
9,855161034.0,913890149.0
4,416840821.0,484554801.0
5,453555358.0,500326444.0
8,744937777.0,782697381.0
8,810158353.0,823621382.0
1,183715806.0,227530398.0
2,255765522.0,271742652.0
1,170537960.0,224186564.0
5,473750009.0,522726417.0
6,570377952.0,594145095.0
1,138154991.0,176124848.0
7,669382549.0,696888220.0
2,243073123.0,271178461.0
1,137423266.0,161148931.0
2,225744278.0,264558141.0
5,477273715.0,509652460.0
0,83988293.0,114861280.0
6,574318315.0,588504073.0
1,179716724.0,227990226.0
0,47584171.0,83328460.0
8,747900628.0,777121272.0
5,490296671.0,512411064.0
3,284842147.0,345868126.0
5,524298907.0,555908340.0
3,376259990.0,409566101.0
3,351223643.0,399903626.0
1,176636151.0,226864249.0
4,385228565.0,421395028.0
3,356534973.0,396777419.0
6,597323854.0,626222887.0
8,751885215.0,763200615.0
8,715685130.0,761715062.0
4,410389259.0,459883200.0
7,662234009.0,690700551.0
1,126614673.0,166324368.0
4,407684732.0,449834071.0
3,369105878.0,410763309.0
3,343872646.0,408762238.0
0,103654327.0,135506978.0
8,713290789.0,769294124.0
3,323860268.0,362209536.0
7,667038694.0,701327040.0
6,589722509.0,634268551.0
8,720401064.0,758320550.0
2,285067519.0,316548024.0
0,61877515.0,101651226.0
7,681968311.0,717874167.0
3,312769480.0,347103248.0
4,447668254.0,495753335.0
1,126224151.0,165083316.0
4,417526173.0,469633837.0
4,425372340.0,459797328.0
9,845387892.0,903485490.0
8,727696315.0,775559251.0
0,100938926.0,141935809.0
7,644645624.0,685045018.0
6,555676482.0,593345788.0
8,761496441.0,812175439.0
4,401183388.0,435234834.0
9,857221470.0,887849173.0
2,235528976.0,272991721.0
2,237966371.0,291331716.0
7,707391268.0,741429410.0
0,64819233.0,106430157.0
8,771478593.0,811400366.0
9,776912854.0,839243564.0
5,525545137.0,564607399.0
1,190141664.0,222049509.0
7,649651583.0,693018082.0
3,341409258.0,395863466.0
2,252444728.0,270792800.0
8,709920311.0,756741282.0
3,371948867.0,407421068.0
5,521167239.0,562495611.0
2,283590146.0,324886969.0
1,194930035.0,224841792.0
9,857548455.0,890366259.0
8,742156370.0,788034018.0
7,702184415.0,742147300.0
1,162501745.0,208103751.0
4,424196926.0,462398287.0
2,229470679.0,278790064.0
5,503704108.0,572128327.0
3,296426139.0,336851476.0
2,222223571.0,265852244.0
7,681199562.0,725136784.0
6,556527168.0,585653405.0
4,440780451.0,481066544.0
2,214920128.0,244831683.0
5,489988356.0,515372917.0
9,833896570.0,860547783.0
9,834120408.0,874296477.0
1,150124449.0,203032174.0
5,538508972.0,581237616.0
7,711029793.0,742899811.0
9,819024055.0,879730801.0
7,702908555.0,742019772.0
7,684538514.0,736368418.0
2,240347227.0,277143783.0
9,855912409.0,888678618.0
8,800232327.0,825727056.0
1,117648754.0,164239544.0
0,83945035.0,126268987.0
0,49718576.0,94750530.0
6,612317847.0,660458882.0
5,533974141.0,560844135.0
9,870316683.0,922163121.0
5,458266692.0,505410322.0
0,80067183.0,116148763.0
1,156889147.0,184017252.0
9,795502373.0,846117566.0
7,640027611.0,687930551.0
3,378031355.0,399609826.0
6,613274596.0,654582877.0
